,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_layer1,param_layer2,param_layer3,param_layer4,param_learning_rate,param_learning_rate_init,param_num_hl,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,87.13545360565186,33.01350953157107,0.04492096900939942,0.0021574573519872495,tanh,0.0038292684162923927,5699,3899,1245,350,adaptive,0.06883086874489248,2,adam,"OrderedDict([('activation', 'tanh'), ('alpha', 0.0038292684162923927), ('layer1', 5699), ('layer2', 3899), ('layer3', 1245), ('layer4', 350), ('learning_rate', 'adaptive'), ('learning_rate_init', 0.06883086874489248), ('num_hl', 2), ('solver', 'adam')])",-0.01438429705741684,-0.00011822992472243499,-0.008311266868594958,-0.004846802149111262,-0.16006726021628914,-0.037545571243226925,0.06143723434763778,5
1,32.86666574478149,13.364397725331502,0.01537914276123047,0.0028521167431163914,relu,0.012182950389238124,6132,3937,1164,403,constant,0.029203817648943437,1,adam,"OrderedDict([('activation', 'relu'), ('alpha', 0.012182950389238124), ('layer1', 6132), ('layer2', 3937), ('layer3', 1164), ('layer4', 403), ('learning_rate', 'constant'), ('learning_rate_init', 0.029203817648943437), ('num_hl', 1), ('solver', 'adam')])",0.5470854054004193,0.4106657551376993,0.3065019760064993,0.3316074298819558,0.48437681423555046,0.4160474761324249,0.0905528997679707,2
2,196.6478400707245,92.38552834253585,0.12729239463806152,0.004093415407062564,relu,0.04809907145952705,9460,3052,1082,565,adaptive,0.07485222016894318,3,adam,"OrderedDict([('activation', 'relu'), ('alpha', 0.04809907145952705), ('layer1', 9460), ('layer2', 3052), ('layer3', 1082), ('layer4', 565), ('learning_rate', 'adaptive'), ('learning_rate_init', 0.07485222016894318), ('num_hl', 3), ('solver', 'adam')])",-0.11744576038489019,-194.24912408246837,-0.06298028186367488,-9062.152744405807,-47930.678273937265,-11437.452113693556,18576.510493832924,9
3,927.2008291721344,541.5755251101033,0.7384396553039551,0.0513357955924726,relu,0.027812813335553563,9457,3688,1817,954,constant,0.06708434400220305,4,adam,"OrderedDict([('activation', 'relu'), ('alpha', 0.027812813335553563), ('layer1', 9457), ('layer2', 3688), ('layer3', 1817), ('layer4', 954), ('learning_rate', 'constant'), ('learning_rate_init', 0.06708434400220305), ('num_hl', 4), ('solver', 'adam')])",-0.14051987833632817,-5001719561.780499,-10.029531242221243,-2341033.1213556863,-9.340734006734959,-1000812122.8825283,2000453924.9175735,11
4,796.6722288131714,207.0309321128898,0.19153823852539062,0.006225259647572476,tanh,0.013217128847517223,7538,3968,1301,889,adaptive,0.09867001933540046,3,adam,"OrderedDict([('activation', 'tanh'), ('alpha', 0.013217128847517223), ('layer1', 7538), ('layer2', 3968), ('layer3', 1301), ('layer4', 889), ('learning_rate', 'adaptive'), ('learning_rate_init', 0.09867001933540046), ('num_hl', 3), ('solver', 'adam')])",-0.4081105141571948,-21.936858091074228,-0.17523868807376175,-0.03834305590043696,-3.190222652678715,-5.149754600376868,8.473513252961595,6
5,24.8483238697052,13.437631969204475,0.0521092414855957,0.0019959512741730993,relu,0.005866430443059669,7772,3234,1622,357,adaptive,0.08626434109483044,2,adam,"OrderedDict([('activation', 'relu'), ('alpha', 0.005866430443059669), ('layer1', 7772), ('layer2', 3234), ('layer3', 1622), ('layer4', 357), ('learning_rate', 'adaptive'), ('learning_rate_init', 0.08626434109483044), ('num_hl', 2), ('solver', 'adam')])",-9.800920365097832,-10.262791268588368,0.08681852780916255,-8.790860700119683,-9.420288946240714,-7.637608550447487,3.8922028701650406,7
6,190.96283440589906,66.07945106823546,0.1097785472869873,0.004989042904918011,relu,0.021765473868584052,6640,2324,1389,552,constant,0.0011400884897917742,3,adam,"OrderedDict([('activation', 'relu'), ('alpha', 0.021765473868584052), ('layer1', 6640), ('layer2', 2324), ('layer3', 1389), ('layer4', 552), ('learning_rate', 'constant'), ('learning_rate_init', 0.0011400884897917742), ('num_hl', 3), ('solver', 'adam')])",0.5110337246021351,0.5183921184602741,0.4322593698677448,0.38294005332946557,0.5556167542175108,0.48004840409542615,0.06301544197935904,1
7,689.9251205921173,305.45723966017016,0.5550241947174073,0.02246457334486669,relu,0.035007371265197214,8004,2971,1890,412,adaptive,0.03665561743661647,4,adam,"OrderedDict([('activation', 'relu'), ('alpha', 0.035007371265197214), ('layer1', 8004), ('layer2', 2971), ('layer3', 1890), ('layer4', 412), ('learning_rate', 'adaptive'), ('learning_rate_init', 0.03665561743661647), ('num_hl', 4), ('solver', 'adam')])",-16.009902473145146,-9.140221874069015,-143579.20929287488,-10.096867729497374,-2878.0893121633267,-29298.509119422983,57151.13296857511,10
8,414.0345517635345,165.78508874828745,0.20069150924682616,0.007433873706916715,relu,0.026521642639507233,8180,3732,1961,747,constant,0.009843445717289205,3,adam,"OrderedDict([('activation', 'relu'), ('alpha', 0.026521642639507233), ('layer1', 8180), ('layer2', 3732), ('layer3', 1961), ('layer4', 747), ('learning_rate', 'constant'), ('learning_rate_init', 0.009843445717289205), ('num_hl', 3), ('solver', 'adam')])",0.5221819215445882,0.38636045009769415,0.3267380944236603,0.26194758723160005,0.18619902737756922,0.3366854161350224,0.11419930647603738,4
9,1778.0642508983613,1052.4682535850086,0.5564340591430664,0.05091703542204187,relu,0.043242963381315745,8879,2393,1946,647,adaptive,0.019752556919556366,4,adam,"OrderedDict([('activation', 'relu'), ('alpha', 0.043242963381315745), ('layer1', 8879), ('layer2', 2393), ('layer3', 1946), ('layer4', 647), ('learning_rate', 'adaptive'), ('learning_rate_init', 0.019752556919556366), ('num_hl', 4), ('solver', 'adam')])",-9.457418169064294,-9.27568149928155,-0.002993474417748221,-7.911162233203468,-53.51949066718994,-16.0333492086314,19.063378344813078,8
